Unit Address,Property Name,Distance,Neighborhood,Property Flags,Unnamed: 5,Property Group,Latitude,Longitude
"1320 Commonwealth Drive,  Kings Beach, CA, 96143, US",Look Out Lodge,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"1321 Indian Hills,  Truckee, CA, 96161, US",Fireside Lodge at Northstar,267-2-12.6 Martis Landing,Northstar,,,Summer 3 NT,,
"1322 Mineral Springs trail,  Olympic Valley, CA, 96146, US",Creek Side at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"13232 Hansel Ave,  Truckee, CA, 96161, US",Scarlet Hollow Cabin at Tahoe Donner,089-1-04.5 Hansel,Tahoe Donner,,,Summer 3 NT,,
"1325 Edelweiss Ln,  Tahoe City, CA, 96145, US",Edelweiss on the West Shore,089-3-16.7 Alpine Way,Tahoe City,,,Summer 5 NT,,
"1328 Mineral Springs Trl,  Alpine Meadows, CA, 96146, US",Powder Creek at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Monthly Lease Only,,
"13289 Ski Slope,  Truckee, CA, 96161, US",Infinity Ridge at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Monthly Lease Only,,
"13295 Hansel Ave,  Truckee, CA, 96161, US",Forest Haven at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Monthly Lease Only,,
"13316 Muhlebach,  Truckee, CA, 96161, US",Peaceful Pines at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Monthly Lease Only,,
"13320 Solvang Way,  Truckee, CA, 96161, US",Frosty Ridge Retreat at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Ski Lease Only,,
"13336 Skiview Loop,  Truckee, CA, 96161, US",White Horn at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Ski Lease Only,,
"13347 Solvang Way,  Truckee, CA, 96161, US",Norse Hall in Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,Managed Services: Y,,Summer 5 NT,,
"13406 Northwoods Blvd,  Truckee, CA, 96161, US",Wintergreen at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Summer 3 NT,,
"13411 Fairway Drive,  Truckee, CA, 96161, US",Highland Estate at Old Greenwood,267-1-08.6 Lookout,Old Greenwood,,,Summer 5 NT,,
"13419 Northwoods,  Truckee, CA, 96161, US",Pebble Place at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Summer 3 NT,,
"1345 Alpine Way,  Tahoe City, CA, 96145, US",Lupine Lodge at Tahoe Park,089-3-16.7 Alpine Way,Tahoe Park,,,Summer 5 NT,,
"1345 Canterbury Drive,  Kings Beach, CA, 96143, US",Canterbury Lodge,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,Managed Services: Y,,Managed Services,,
"1347 Mineral Springs,  Alpine Meadows, CA, 96146, US",Mariposa Heights at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"135 Alpine Meadows Rd #15,  Alpine Meadows, CA, 96146, US",River Run #15,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"135 Bearing Drive,  Tahoe City, CA, 96145, US",Nightingale Retreat on the West Shore,089-3-16.3 Granlibakken,Tahoe City,,,Summer 5 NT,,
"1350 Kings Way,  Tahoe Vista, CA, 96148, US",Kings Way Lake View,267-2-15.8 Regency,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"13535 Pathway Avenue,  Truckee, CA, 96161, US",Radiant Retreat at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Summer 5 NT,,
"13567 Hansel,  Truckee, CA, 96161, US",Raven Retreat at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Summer 5 NT,,
"13579 Skislope Way,  Truckee, CA, 96161, US",Four Seasons Retreat at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Summer 5 NT,,
"13612 Hansel,  Truckee, CA, 96161, US",Rosepine Retreat at Tahoe Donner,089-1-05.8 Saint Bernard,Tahoe Donner,,,Monthly Lease Only,,
"13630 Ski View Loop,  Truckee, CA, 96161, US",Arrowleaf Cabin at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Monthly Lease Only,,
"13647 Northwoods Blvd,  Truckee, CA, 96161, US",Hearthlight Cabin at Tahoe Donner,089-1-03.9 Alder Creek,Tahoe Donner,,,Summer 3 NT,,
"13666 Pathway Avenue,  Truckee, CA, 96161, US",Candlewood Cabin at Tahoe Donner,089-1-06.0 Schussing,Tahoe Donner,,,Ski Lease Only,,
"1368 Mineral Springs Trail,  Alpine Meadows, CA, 96146, US",Shining Creek at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 5 NT,,
"13711 Cristallina,  Truckee, CA, 96161, US",Fox Crossing at Tahoe Donner,089-1-01.7 Swiss,Tahoe Donner,,,Summer 5 NT,,
"13779 Northwoods,  Truckee, CA, 96161, US",Wild Horse at Tahoe Donner,089-1-04.2 Solvang,Tahoe Donner,,,Monthly Lease Only,,
"1390 Commonwealth Drive,  Kings Beach, CA, 96143, US",Boathouse in the Woods,267-2-16.4 Commonwealth,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"13963 Copenhagen,  Truckee, CA, 96161, US",Wisteria Ski Lease in Tahoe Donner,089-1-01.1 Skislope One,Tahoe Donner,,,Ski Lease Only,,
"13972 Robin Ln,  Truckee, CA, 96161, US",Legend Lakeview Lodge,089-2-02.6 Donner Lake,Truckee,,,Ski Lease Only,,
"13983 Hansel Ave,  Truckee, CA, 96161, US",Lodgepole at Tahoe Donner,089-1-04.9 Muhlebach,Tahoe Donner,,,Summer 5 NT,,
"140 Roundridge Road,  Tahoe City, CA, 96145, US",Serenity at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"1401 Pine Trail,  Alpine Meadows, CA, 96146, US",Vibrance Lodge at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Summer 3 NT,,
"14027 Tyrol,  Truckee, CA, 96161, US",Tamarack Retreat at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Ski Lease Only,,
"1405 Oxen Run,  Truckee, CA, 96161, US",Oxen Run Ski Lease at Northstar,267-2-12.6 Martis Landing,Northstar,,,Ski Lease Only,,
"14070 Davos,  Truckee, CA, 96161, US",Cascade Ski Lease at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Ski Lease Only,,
"1420 Chateau Place,  Alpine Meadows, CA, 96146, US",Alta Vista at Alpine Meadows,089-3-14.1 Upper Bench,Alpine Meadows,,,Ski Lease Only,,
"14219 Mountainside Place,  Truckee, CA, 96161, US",Elevation Ski-in Ski-out in Northstar,267-2-14.3 Home Run,Northstar,,,Summer 3 NT,,
"1423 Beaver Dam Trail,  Alpine Meadows, CA, 96146, US",Birchwood Retreat at Alpine Meadows,089-3-14.2 Deer Park,Alpine Meadows,,,Summer 3 NT,,
"14255 Herringbone,  Truckee, CA, 96161, US",Solstice Ridge at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Monthly Lease Only,,
"1433 Mineral Springs,  Alpine Meadows, CA, 96146, US",Spire Chalet at Alpine Meadows,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"14398 Northwoods Blvd,  Truckee, CA, 96161, US",Charmed Cabin at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 5 NT,,
"144 Chipmunk St #1,  Kings Beach, CA, 96143, US",Bella Vista at Brockway Shores,267-2-17.9 Brockway,Tahoe Vista/Kings Beach,,,Ski Lease Only,,
"1440 Pine Trail,  Alpine Meadows, CA, 96146, US",Pine Trail at Alpine Meadows,089-3-13.2 Snow Crest,Alpine Meadows,,,Ski Lease Only,,
"14403 Skislope Way,  Truckee, CA, 96161, US",Grand Vista Lodge at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Summer 5 NT,,
"1443 Juniper Mountain Road,  Olympic Valley, CA, 96146, US",Juniper Mountain at Alpine Meadows,089-3-14.6 Juniper Mountain,Alpine Meadows,,,Summer 3 NT,,
"14472 Homerun Trail,  Truckee, CA, 96161, US",Gondola Getaway Ski-in Ski-out at Northstar,267-2-14.3 Home Run,Northstar,,,Summer 3 NT,,
"14478 Matterhorn Place,  Truckee, CA, 96161, US",Matterhorn Charm at Tahoe Donner,089-1-03.0 Chalet,Tahoe Donner,,,Summer 3 NT,,
"14478 Tyrol Road,  Truckee, CA, 96161, US",Tyrol Time at Tahoe Donner,089-1-04.3 Ski View,Tahoe Donner,,,Ski Lease Only,,
"14483 Home Run Trail,  Truckee, CA, 96161, US",Mountainside Ski-in Ski-Out at Northstar,267-2-14.3 Home Run,Northstar,,,Summer 3 NT,,
"145 Timber Drive,  Tahoe City, CA, 96145, US",Woodland Heights at Tahoe Park,089-3-18.5 Tahoe Park Heights,Tahoe Park,,,Summer 5 NT,,
"14509 Wolfgang,  Truckee, CA, 96161, US",Frontier Lodge at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Monthly Lease Only,,
"14649 Copenhagen,  Truckee, CA, 96161, US",Whitetail Trail at Tahoe Donner,089-1-01.1 Skislope One,Tahoe Donner,,,Monthly Lease Only,,
"1473 Upper Bench Rd,  Alpine Meadows, CA, 96146, US",Copperleaf Lodge at Alpine Meadows,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"14731 Hansel Ave,  Truckee, CA, 96161, US",Kindred Pines at Tahoe Donner,089-1-04.5 Hansel,Tahoe Donner,,,Summer 3 NT,,
"14746 Davos Drive,  Truckee, CA, 96161, US",Davos Delight at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Summer 5 NT,,
"14779 Copenhagen Dr.,  Truckee, CA, 96161, US",Great Bison Lodge at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Summer 3 NT,,
"14791 Slalom Way,  Truckee, CA, 96161, US",Hawk's Peak in Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 5 NT,,
"14806 Davos Dr,  Truckee, CA, 96161, US",Clover Cabin at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Ski Lease Only,,
"14863 Swiss Ln,  Truckee, CA, 96161, US",Apres Chalet at Tahoe Donner,089-1-01.7 Swiss,Tahoe Donner,,,Ski Lease Only,,
"149 Skyland Way,  Tahoe City, CA, 96145, US",Skyland Jewel at Dollar Point,267-2-23.7 Edgewood,Dollar Point,,,Summer 5 NT,,
"1497 Mineral Springs,  Alpine Meadows, CA, 96146, US",Alpine Escape at Palisades,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"150 Mammoth Drive,  Tahoe City, CA, 96145, US",High Sierra Hideaway at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"150 Tallac Ave,  Homewood, CA, 96141, US",Lakewalk Lodge at the West Shore,089-4-20.3 Eagle Rock,Homewood/Tahoma,,,Summer 5 NT,,
"15011 Northwoods Blvd,  Truckee, CA, 96161, US",Hickory Ridge Lodge,089-1-02.7 Norse,Tahoe Donner,,,Ski Lease Only,,
"15012 Peak View Place,  Truckee, CA, 96161, US",Stellar Ski-in Ski-out # 8,267-2-14.6 Peak View,Northstar,Managed Services: Y,,Summer 3 NT,,
"15036 Peak View Place,  Truckee, CA, 96161, US",Stellar Ski-in Ski-out # 2,267-2-14.6 Peak View,Northstar,,,Summer 3 NT,,
"15040 Davos,  Truckee, CA, 96161, US",Gathering Place at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Monthly Lease Only,,
"1505 Pine Ave,  Tahoe City, CA, 96145, US",Cherished Ski Lease,089-3-17.6 Fountain,Tahoe City,,,Ski Lease Only,,
"151 Mammoth Drive,  Tahoe City, CA, 96145, US",Club 151 at Dollar Point,267-2-23.8 Marlette,Dollar Point,,,Summer 7 NT,,
"1512 Sandy Way,  Olympic Valley, CA, 96146, US",Trailblazer Chalet at Palisades Tahoe,089-3-12.5 Sandy,Olympic Valley,,,Summer 3 NT,,
"15165 Northwoods,  Truckee, CA, 96161, US",Redwood Retreat at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Ski Lease Only,,
"15166 Swiss Lane,  Truckee, CA, 96161, US",Dogwood Place at Tahoe Donner,089-1-01.7 Swiss,Tahoe Donner,,,Summer 5 NT,,
"15172 Wolfgang Rd.,  Truckee, CA, 96161, US",Venture In at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Summer 5 NT,,
"15219 Wolfgang,  Truckee, CA, 96161, US",Harmony Ridge at Tahoe Donner,089-1-04.1 Wolfgang,Tahoe Donner,,,Summer 3 NT,,
"1533 Alpine Meadows Road,  Olympic Valley, CA, 96146, US",Snowy Paws in Alpine Meadows,089-3-14.2 Deer Park,Alpine Meadows,,,Summer 3 NT,,
"1550 Sequoia Ave,  Tahoe City, CA, 96145, US",Eclipse Retreat at Tahoe Park,089-3-16.8 Cedar Point,Tahoe Park,,,Summer 5 NT,,
"1560 Olympic Valley #10,  Alpine Meadows, CA, 96146, US",Valley View Townhome #10,089-3-12.1 Wayne,Olympic Valley,,,Summer 3 NT,,
"15681 Northwoods,  Truckee, CA, 96161, US",Half Moon at Tahoe Donner,089-1-01.9 Davos Three,Tahoe Donner,,,Monthly Lease Only,,
"1574 Cortina Court,  Alpine Meadows, CA, 96146, US",Ascent at Alpine Meadows,089-3-14.6 Juniper Mountain,Alpine Meadows,,,Ski Lease Only,,
"1579 Mineral Springs Trail,  Olympic Valley, CA, 96146, US",Mineral Springs at Alpine Meadows,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"1587 Olympic Valley Rd # 13,  Olympic Valley, CA, 96146, US",Palisades Meadows Condo # 13,089-3-12.7 Chamonix,Olympic Valley,,,Monthly Lease Only,,
"1595 Alpine Meadows Rd,  Olympic Valley, CA, 96146, US",On the Edge at Alpine Meadows,089-3-14.2 Deer Park,Alpine Meadows,,,Summer 3 NT,,
"1595 Upper Bench Rd,  Alpine Meadows, CA, 96146, US",Panoramic Peaks at Alpine,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"1602 Sandy Way,  Olympic Valley, CA, 96146, US",Valley Vista at Palisades Tahoe,089-3-12.5 Sandy,Olympic Valley,,,Summer 3 NT,,
"1606 Deer Path,  Truckee, CA, 96161, US",Ponderosa Pines at Northstar,267-2-13.3 Deer Path,Northstar,,,Summer 3 NT,,
"16133 Ski Slope,  Truckee, CA, 96161, US",Horizon at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 3 NT,,
"16323 Ski Slope,  Truckee, CA, 96161, US",Family Time at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Ski Lease Only,,
"16415 Skislope Way,  Truckee, CA, 96161, US",High Altitude at Tahoe Donner,089-1-03.6 Slalom,Tahoe Donner,,,Summer 3 NT,,
"165 Basque Drive,  Truckee, CA, 96161, US",Basque Lodge at Northstar,267-2-11.8 Basque,Northstar,,,Summer 3 NT,,
"16507 Northwoods Blvd,  Truckee, CA, 96161, US",Stonehill Hideaway at Tahoe Donner,089-1-01.7 Swiss,Tahoe Donner,,,Monthly Lease Only,,
"1660 Willow Ave,  Tahoe City, CA, 96145, US",Antler House,089-3-17.6 Fountain,Tahoe Park,,,Summer 5 NT,,
"17054 Ski Slope,  Truckee, CA, 96161, US",Sparrow's Rest Lodge at Tahoe Donner,089-1-02.6 Skislope Two,Tahoe Donner,,,Summer 3 NT,,
"17207 Northwoods,  Truckee, CA, 96161, US",Graystone Retreat at Tahoe Donner,089-1-00.3 Bernese,Tahoe Donner,,,Summer 3 NT,,
"17305 Northwoods #2,  Truckee, CA, 96161, US",Petite Retreat at Tahoe Donner,089-1-00.2 Hidden Circle,Tahoe Donner,,,Monthly Lease Only,,
"1739 Cedar Crest,  Tahoe City, CA, 96145, US",Hidden Willow at Tahoe Park,089-3-17.6 Fountain,Tahoe Park,,,Summer 5 NT,,
"1776 Spruce Ave,  Tahoe City, CA, 96145, US",Sunlit Pines at Tahoe Park,089-3-17.6 Fountain,Tahoe Park,,,Summer 5 NT,,
"1800 Olympic Valley Rd #11,  Alpine Meadows, CA, 96146, US",Palisades Tahoe Ski Condo #11,089-3-12.7 Chamonix,Olympic Valley,,,Summer 3 NT,,
"1825 Silver Tip,  Tahoe City, CA, 96145, US",Silver Tip at Tahoe Park,089-3-18.5 Tahoe Park Heights,Tahoe Park,,,Summer 5 NT,,
"1830 Deer Park,  Alpine Meadows, CA, 96146, US",Trailside Retreat at Alpine,089-3-14.2 Deer Park,Alpine Meadows,Propane Monitoring: Y,,Summer 3 NT,,
"1875 John Scott Trail,  Alpine Meadows, CA, 96146, US",Alpine Darling,089-3-14.1 Upper Bench,Alpine Meadows,,,Summer 3 NT,,
"1877 North Lake Blvd #46,  Tahoe City, CA, 96145, US",Rocky Ridge #46,267-2-25.0 Rocky Ridge,Tahoe City,,,Ski Lease Only,,
"1924 Gray Wolf,  Truckee, CA, 96161, US",Big Springs at Northstar,267-2-13.4 Big Springs,Northstar,,,Summer 3 NT,,
"202 Bitter Brush,  Truckee, CA, 96161, US",Bitter Brush Retreat at Northstar,267-2-11.8 Basque,Northstar,,,Summer 3 NT,,
"2080 Big John Rd,  Alpine Meadows, CA, 96146, US",Big John at Alpine Meadows,089-3-14.8 Bear Creek,Alpine Meadows,,,Summer 3 NT,,
"212 Palisades Circle,  Olympic Valley, CA, 96146, US",Diamond Run at Palisades Tahoe,089-3-11.0 Creeks End,Olympic Valley,,,Summer 3 NT,,
"214 Talvista Drive,  Tahoe City, CA, 96145, US",Timber Grove at Tahoe Park,089-3-18.5 Tahoe Park Heights,Tahoe Park,Managed Services: Y,,Summer 5 NT,,
"217 Basque,  Truckee, CA, 96161, US",Easy Living at Northstar,267-2-11.8 Basque,Northstar,,,Ski Lease Only,,
"224 Palisades Circle,  Olympic Valley, CA, 96146, US",Midnight Run at Palisades Tahoe,089-3-11.0 Creeks End,Olympic Valley,,,Monthly Lease Only,,
"2253 Bear Creek Dr,  Alpine Meadows, CA, 96146, US",Alpine Adventure,089-3-14.8 Bear Creek,Alpine Meadows,Managed Services: Y,,Summer 3 NT,,
"227 Olympic Valley Rd #6,  Olympic Valley, CA, 96146, US",Tavern Inn #6 at Olympic Valley,089-3-11.0 Creeks End,Olympic Valley,,,Monthly Lease Only,,
"228 Palisades Circle,  Olympic Valley, CA, 96146, US",Powder Run at Palisades Tahoe,089-3-11.0 Creeks End,Olympic Valley,Propane Tank: Y,,Summer 3 NT,,
"2311 John Scott Trail,  Olympic Valley, CA, 96146, US",Eagles Nest at Alpine Meadows,089-3-14.8 Bear Creek,Alpine Meadows,Managed Services: Y;,,Summer 3 NT,,
"232 Palisades Circle,  Olympic Valley, CA, 96146, US",Lightning Run at Palisades Tahoe,089-3-11.0 Creeks End,Olympic Valley,,,Summer 3 NT,,
"236 Palisades Circle,  Olympic Valley, CA, 96146, US",Twilight Run at Palisades,089-3-11.0 Creeks End,Olympic Valley,,,Summer 3 NT,,
"240 Woodhaven,  Tahoe City, CA, 96145, US",Emerald Lodge at Tahoe Park,089-3-16.7 Alpine Way,Tahoe Park,,,Summer 5 NT,,
"250 Observation Court,  Tahoe City, CA, 96145, US",Lake of the Sky at Dollar Point,267-2-23.7 Edgewood,Dollar Point,,,Summer 7 NT,,
"250 Winding Creek Road,  Olympic Valley, CA, 96146, US",Olympic Valley Hideaway,089-3-11.5 Winding Creek,Olympic Valley, Propane Monitoring: Y,,Summer 3 NT,,
"260 Palisades Circle,  Alpine Meadows, CA, 96146, US",Starfall Run at Palisades Tahoe,089-3-11.0 Creeks End,Olympic Valley,,,Summer 3 NT,,
"260 Sierra Crest Trail,  Olympic Valley, CA, 96146, US",Sierra Crest at Palisades Tahoe,089-3-11.4 Sierra Crest,Olympic Valley,Propane Tank: Y,,Summer 3 NT,,
"270 Bend Ave,  Kings Beach, CA, 96143, US",Bluejay Hideaway,267-2-17.9 Brockway,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"270 Old County Road,  Carnelian Bay, CA, 96140, US",Wild Blue Lakeview Retreat,267-2-23.0 Old County,Carnelian Bay,,,Managed Services,,
"270 Pioneer Way,  Tahoe City, CA, 96145, US",Vanni House in Tahoe City,267-2-25.9 Grove,Tahoe City,,,5 NT Year-Round,,
"270 Wildwood Avenue,  Carnelian Bay, CA, 96140, US",Cozy Wood Cabin,267-2-23.0 Old County,Carnelian Bay,,,Summer 5 NT,,
"280 Old County,  Carnelian Bay, CA, 96140, US",Lake Vista Ski Cabin,267-2-23.0 Old County,Carnelian Bay,,,Ski Lease Only,,
"288 West Agatam Avenue,  Tahoe Vista, CA, 96148, US",Moon Dune Chalet,267-2-18.0 Moon Dunes,Tahoe Vista/Kings Beach,,,Summer 5 NT,,
"3002 Silver Strike,  Truckee, CA, 96161, US",Silver Strike Condo #2 at Northstar,267-2-12.0 Silver Strike,Northstar,,,Summer 3 NT,,
"3009 Ridge Court #13,  Olympic Valley, CA, 96146, US",Ridge Court #13 at Palisades Tahoe,089-3-11.3 Broken Arrow,Olympic Valley,,,Summer 3 NT,,
"3009 Ridge Court #14,  Olympic Valley, CA, 96146, US",Ridge Court #14 at Palisades Tahoe,089-3-11.3 Broken Arrow,Olympic Valley,,,Summer 3 NT,,
"3045 Martin,  Tahoe City, CA, 96145, US",Hideaway in the Highlands,267-2-24.0 Fabian,Tahoe City,,,Summer 5 NT,,
"306 Bob Haslem,  Truckee, CA, 96161, US",Stag's Rest at Lahontan,267-2-09.4 Lahontan,Lahontan,,,Monthly Lease Only,,
